uniprot,pdb,n_chains,n_interface,n_candidates,n_iface_in_candidates,median_interface,median_non_interface,diff,mean_interface,mean_non_interface,mean_diff,n_allo,n_allo_at_interface
P52731,3DBA,4,50,859,50,0.00021701993682654575,0.0004957805504091084,-0.00027876061358256266,0.00024752320634434,0.0010742258033690725,-0.0008267025970247325,19,4
P53608,2CEV,6,47,278,47,0.0158587284386158,0.0158402007073164,1.852773129940033e-05,0.016010317713656325,0.020344970135010167,-0.004334652421353842,18,11
P53671,4TPT,2,58,635,58,0.0011683121556416154,0.0006357175880111754,0.00053259456763044,0.0015341676049062918,0.0013722254882265604,0.0001619421166797314,26,4
P53704,2POC,4,55,710,55,0.0003331191255711019,0.0005026822909712791,-0.00016956316540017724,0.00033676300584126943,0.0010941503652796248,-0.0007573873594383554,13,0
P54578,6IIK,2,18,488,18,0.002850957796908915,0.002167700440622866,0.0006832573562860489,0.003892965588925613,0.0033695901181806432,0.0005233754707449699,20,0
P55210,5V6U,2,33,297,33,0.002382393926382065,0.003911070758476853,-0.0015286768320947886,0.0027642376424575395,0.005333054988472158,-0.002568817346014618,22,7
P55212,4NBL,2,38,287,38,0.0022244614083319902,0.003891564905643463,-0.001667103497311473,0.002870316525284005,0.0055823447612903445,-0.0027120282360063395,25,5
P9WI55,5KDE,6,47,159,47,0.0035325486678630114,0.0036758386995643377,-0.00014329003170132637,0.004910896561960591,0.005147601508984475,-0.00023670494702388457,14,5
Q01217,3ZZH,4,50,860,50,0.00017354581359541044,0.00028697605011984706,-0.00011343023652443662,0.00018268579267896712,0.0009986133969864623,-0.0008159276043074952,13,1
Q05769,4OTJ,2,62,585,62,0.00907814921811223,0.007141720037907362,0.0019364291802048683,0.008683237825490294,0.009603052701441354,-0.0009198148759510597,34,0
Q08698,1PEU,2,38,707,38,0.0023593128426000476,0.00171749759465456,0.0006418152479454875,0.0033475967693926863,0.0034568376991597127,-0.00010924092976702642,14,8
Q12650,1M8P,6,83,567,83,0.0011446949793025851,0.002078341436572373,-0.0009336464572697878,0.003970249175901963,0.004131813523742516,-0.00016156434784055356,18,0
Q13547,5ICN,4,65,479,65,0.001462195417843759,0.0009594816947355866,0.0005027137231081724,0.0020640729469820285,0.0017010516154266004,0.0003630213315554281,13,5
Q13976,4Z07,2,22,668,22,0.00047514667676296085,0.0007056455651763827,-0.0002304988884134218,0.00048551969468297267,0.001360002335983807,-0.0008744826413008345,4,3
Q14790,3KJN,4,62,469,57,0.011945301666855812,0.0027910061180591583,0.009154295548796654,0.016219968621602708,0.0051802429054113265,0.01103972571619138,19,0
Q26998,1JLR,4,86,232,82,0.00871573993936181,0.011018386576324701,-0.0023026466369628906,0.012621468847344925,0.01318051303581645,-0.0005590441884715247,13,8
Q2G036,5DL1,14,90,189,88,0.00487057538703084,0.004726535174995661,0.00014404021203517914,0.008049713357732717,0.008650590257608507,-0.0006008768998757904,1,1
Q2HRB6,2PBK,2,32,525,32,0.005339359398931265,0.0019114960450679064,0.0034278633538633585,0.007064297700708266,0.004675606783629635,0.0023886909170786315,29,7
Q59643,2C14,8,132,331,130,0.0038011701544746757,0.002940909471362829,0.0008602606831118464,0.005214275965968577,0.00495991996658586,0.0002543559993827167,9,4
Q8DSE5,2HVW,6,75,147,74,0.0038815762382000685,0.003867438295856118,1.4137942343950272e-05,0.005588050753922781,0.005227001916540608,0.0003610488373821724,20,17
Q8F3Q1,3F6H,2,12,510,12,0.0008094750228337944,0.001713767647743225,-0.0009042926249094307,0.0008205049380194396,0.0033916757486706383,-0.0025711708106511987,14,0
Q8KBW6,2QMX,2,48,275,48,0.004243419039994478,0.004289908334612846,-4.648929461836815e-05,0.006099849347568427,0.005949686053680822,0.00015016329388760526,13,12
Q8TE04,2I7N,2,50,595,48,0.0010314658284187317,0.0007686744793318212,0.0002627913490869105,0.0018809774567974575,0.0013962078329851004,0.00048476962381235715,18,12
Q9PPB4,5F1U,4,65,292,64,0.004080068552866578,0.0031622357200831175,0.0009178328327834606,0.005959517595329089,0.0051378805589608915,0.0008216370363681976,17,10
Q9TZZ6,1NJJ,2,43,442,40,0.0014075862127356231,0.0009954975685104728,0.00041208864422515035,0.004378886146878358,0.0017115699711709807,0.002667316175707377,8,0
Q9UDY8,4I1R,2,21,818,21,0.0016356551786884665,0.0008184792241081595,0.000817175954580307,0.0020627867308489626,0.001947717442899683,0.00011506928794927963,14,0
Q9UM07,4DKT,2,62,652,62,0.0023411911679431796,0.0039026604499667883,-0.0015614692820236087,0.003166978567605838,0.004875084551907602,-0.001708105984301764,41,0
Q9Y223,4ZHT,4,66,719,66,0.00023186725593404844,0.0005017280345782638,-0.0002698607786442153,0.000252756702221549,0.0012698511653970199,-0.001017094463175471,18,6
Q9ZLT0,2W4I,2,29,249,29,0.004560624249279499,0.004674182273447514,-0.00011355802416801453,0.004785041581710865,0.00637564690339125,-0.0015906053216803856,22,7
